author	bookid	bpoids	genres	htrcids	subjects	title
Lauder Thomas Dick Sir	B5144	{4441051}		{'uc2.ark+=13960=t3gx4970n'}		Tales of the Highlands
Lamb Charles	B5145	{4965633, 8683175}		{'hvd.hwkdav'}		Famous stories from Shakespear
Lamb Charles	B5146	{4965633, 8683175}	{'Juvenile audience'}	{'nyp.33433074916218', 'nyp.33433074916226'}		Tales from Shakespear  designe
Lamb Charles	B5147	{4965633, 8683175}	{'ContainsBiogMaterial'}	{'njp.32101073308411'}		Tales from Shakespeare  by Cha
Leitch Maurice	B5148	{8973185, 3196333}		{'mdp.39015000635014'}		The liberty lad
Linton E Lynn Elizabeth Lynn	B5149	{8701509}		{'dul1.ark+=13960=t59c7j35s'}		The true history of Joshua Dav
Biggs E Ashurst Elizabeth Ashurst	B515	{8655833}		{'njp.32101067706794'}	{'Race relations'}	White and black a story of the southern states
Lever Charles James	B5150	{6244321}		{'njp.32101068141751'}		Maurice Tiernay  the soldier o
Lane Elinor Macartney	B5151	{9029707, 6805830}		{'nyp.33433076070089'}		Nancy Stair  a novel
Leacock Stephen	B5152	{6768858}		{'mdp.39015066046932'}		Behind the beyond  and other c
Lyrienne Richard de	B5153	{3263490, 8802799}		{'uc2.ark+=13960=t40r9pz2p'}		The quest of the giltedged gir
Le Gallienne Richard	B5154	{3263490, 8802799}		{'uc1.b3324566'}		The quest of the golden girl  
Lytton Rosina Bulwer Lytton Baroness	B5155	{4967661}		{'uiuo.ark+=13960=t2891qf8p', 'uiuo.ark+=13960=t2697np18', 'uiuo.ark+=13960=t3dz0rt4s'}		Miriam Sedley or The tares and
Lever Charles James	B5156	{4447352, 4967994}		{'uc1.b3324548'}		The ODonoghue  a tale of Irela
Loudon	B5157	{5820447}		{'uc2.ark+=13960=t4bn9zc2f'}		Glimpses of nature and objects
Lindsay Jack	B5158	{9097777, 3203231}		{'mdp.39015014137288'}		The revolt of the sons
Lever Charles James	B5159	{4384176, 8671949}	{'Bibliographies'}	{'njp.32101068141793', 'nyp.33433074871058'}		Paul Gossletts confessions in 
Black William	B516	{8793949}		{'njp.32101067707156'}		The Monarch of Mincing Lane
Landor Walter Savage	B5160	{8770988}		{'nyp.33433074889860'}		Citation and examination of Wi
Lynch Theodora Elizabeth	B5161	{9426940}		{'nyp.33433074879150'}		Years ago a tale of West India
Latham R G Robert Gordon	B5162	{8774283, 9165046}		{'nyp.33433075914410'}		A handbook of the English lang
Lockhart J G John Gibson	B5163	{5167490, 5371210}		{'mdp.39015063938776'}		Some passages in the life of M
Lewis Sinclair	B5164	{3201684}		{'mdp.39015005343010'}		Main Street the story of Carol
La Gironière Paul P de	B5165	{8608502}		{'miun.ahz9187.0001.001'}		Adventures in the Philippine I
La Gironire Paul P de	B5166	{8608502}		{'loc.ark+=13960=t1pg2cc3s'}		Twenty years in the Philippine
Le Queux William	B5167	{8936242}		{'uc2.ark+=13960=t1gh9h54c'}		The veiled man
Lambton Antony	B5168	{8805838}		{'mdp.39015018984081'}		Pig and other stories
Livermore Mary Ashton Rice	B5169	{9166363}	{'Juvenile audience'}	{'uc1.32106010330345'}		The two families and The duty 
Blackmore R D Richard Dooddridge	B517	{9433424}		{'njp.32101067707289', 'njp.32101067707297', 'uc1.b3337052'}	{'Murder', 'Inheritance and succession', 'Mistaken identity'}	Cradock Nowell  a tale of the new forest
Leacock Stephen	B5170	{3202660}		{'uc1.b4102474'}		Winsome Winnie and other new n
Leatham Edward A Edward Aldam	B5171	{8970702, 4848263}		{'uc1.b3324481', 'uc1.b3324482'}		Charmione  a tale of the great
Le Queux William	B5172	{8971256}		{'uc1.31158007327769'}		The white glove
Leskov N S Nikolaĭ Semenovich	B5173	{2451133}		{'uc1.32106001595096'}		The enchanted wanderer and oth
Linden Auguste	B5174	{8710785}	{'Juvenile audience'}	{'nyp.33433082546478'}		Childrens trials or The little
Lytton Edward Bulwer Lytton Baron	B5175	{6810414}		{'uc1.$b358655'}		 Eugene Aram Zanoni
Lytton Edward Bulwer Lytton Baron	B5176	{6810414}		{'hvd.32044005619440'}		Eugene Aram  A tale
London Jack	B5177	{6810552}		{'mdp.39015004288109'}		The son of the wolf tales of t
Landor Walter Savage	B5178	{8613420}		{'uc2.ark+=13960=t5p84h978', 'uc2.ark+=13960=t5w66pp38'}		Imaginary conversations of lit
Lord Lennox William Pitt	B5179	{2879389}		{'njp.32101068141454', 'njp.32101068141447'}		Percy Hamilton or The adventur
Blackwood Algernon	B518	{3205316}		{'njp.32101067707461'}		The bright messenger
Linklater Eric	B5180	{2486378}		{'mdp.39015048881158'}		Magnus Merriman a novel
Loos Anita	B5181	{2454278}		{'mdp.49015000999095'}		Gentlemen prefer blondes the i
Lowerison Harry	B5182	{6845224}	{'Bibliographies'}	{'nyp.33433074877485'}		From Paleolith to motor car or
LevettYeats S Sidney Kilner	B5183	{3175652}		{'mdp.39015063939360'}		The honour of Savelli  a roman
Le Fanu Joseph Sheridan	B5184	{8517188}		{'mdp.49015001259663'}		In a glass darkly stories
L E L	B5185	{8451778, 5241012}		{'uiuo.ark+=13960=t5p84sj7q', 'uiuo.ark+=13960=t47p9h11h'}		Lady Anne Granard or Keeping u
Lawrence George A George Alfred	B5186	{9435559}		{'njp.32101068141025'}		Maurice Dering or The quadrila
Marryat Florence R M Church Lean	B5187	{6654392}		{'coo.31924013496983'}		A passing madness
MarshCaldwell Anne	B5188	{8754907, 4978246}		{'coo.31924064972890', 'coo.31924013521764'}		The rose of Ashurst
Marshall Emma Mrs	B5189	{6810019, 3167109}		{'coo.31924013521855'}	{'Herbert, George', 'Donne, John', '1572-1631', '1592-1637', '1593-1633', 'Ferrar, Nicholas'}	A haunt of ancient peace memories of Mr Nicholas Ferrars house at Little Gidding and of his friends Dr Donne and Mr George Herbert a story
Becke Louis	B519	{3156285}		{'njp.32101067707677'}	{'Oceania'}	By reef and palm
Montgomery Florence	B5190	{3283850}		{'coo.31924013525716'}		Behind the scenes in the schoolroom being the experiences of a young governess
Moore Frank Frankfort	B5191	{8927120}		{'coo.31924013525971'}		An amateur adventuress
Moore Frank Frankfort	B5192	{8885651}		{'coo.31924013525997', 'coo.31924064972668'}	{'1649-1650', '1649-1660', 'History'}	Castle Omeragh
Moore Frank Frankfort	B5193	{3193292}		{'coo.31924013526011'}		The food of love
Moore Frank Frankfort	B5194	{9300296}		{'coo.31924013526094'}		The marriage lease the story of a social experiment
Moore Frank Frankfort	B5195	{9451212}		{'coo.31924013526177', 'coo.31924061794982'}		Priscilla and Charybdis a story of alternatives
Mathers Helen	B5196	{6808861}		{'coo.31924013539360'}		The new Lady Teazle and other stories and essays
Mathers Helen	B5197	{9435169}		{'coo.31924064990454', 'coo.31924013539378'}		Pigskin and petticoat
Mathers Helen	B5198	{6786011}		{'coo.31924064990439', 'coo.31924013539394'}		Tally ho
Maartens Maarten	B5199	{8990824}		{'coo.31924064994068', 'coo.31924013543735'}		Dorothea a story of the pure in heart
Anstey F	B52	{8948509}		{'njp.32101067633550'}		In brief authority
Becke Louis	B520	{3173176}		{'njp.32101067707685'}		Under tropic skies
Maartens Maarten	B5200	{6791997, 9301639}		{'coo.31924064994134', 'coo.31924013543842'}		The new religion
Maartens Maarten	B5201	{3183014, 9323510}		{'coo.31924064994159', 'coo.31924013543867'}		The price of Lis Doris
Morrison Arthur	B5202	{9020483}		{'coo.31924013647411'}		The green eye of Goona stories of a case of Tokay
Maxwell W B William Babington	B5203	{2436203, 8931342}		{'coo.31924013651140', 'coo.31924064998127'}		In cotton wool
Maxwell W B William Babington	B5204	{8991201}		{'coo.31924064998200', 'coo.31924013651165'}		The ragged messenger
Mason A E W Alfred Edward Woodley	B5205	{6799048, 9024099}		{'coo.31924013652635', 'coo.31924064998101'}		The truants
Mason A E W Alfred Edward Woodley	B5206	{2445515}		{'coo.31924064998184', 'coo.31924013652643'}		The turnstile
Morrison Arthur	B5207	{3155947}		{'coo.31924077050296'}		Tales of mean streets
Miller J Joaquin	B5208	{3165502}		{'dul1.ark+=13960=t1wd4jf83'}		The building of the city beautiful  by Joaquin Miller
Martineau Harriet	B5209	{9199935}		{'dul1.ark+=13960=t7rn3x266'}	{'Conduct of life', 'Generosity', 'Sisters', 'Juvenile fiction', 'Young women', 'Juvenile literature', 'Selfishness'}	Five years of youth or Sense and sentiment
Bellew John Chippendall Montesquieu	B521	{9448808}		{'njp.32101067707818', 'uiuo.ark+=13960=t2t43zk4f', 'uiuo.ark+=13960=t88g8wh0t'}		Blount Tempest
Morgan	B5210	{5225296, 8687555}		{'dul1.ark+=13960=t98633t2x'}		Dramatic scenes from real life
Morgan Sydney Lady	B5211	{6140679}		{'hvd.32044010418184'}		ODonnell  a national tale
Martineau Harriet	B5212	{5139332, 6152102, 5212394, 5226762, 8246635, 8586165, 8585788, 6190270}		{'hvd.32044011794849', 'hvd.32044011794823'}		Illustrations of political eco
Martineau Harriet	B5213	{4439301}		{'hvd.32044019218437'}		The Farrers of Budgerow a tale
Maberly Catherine Charlotte Mrs	B5214	{8455458}		{'hvd.32044022677207', 'hvd.32044020392544'}		Emily  or the countess of Rosendale
Monkland Mrs	B5215	{8716574}		{'hvd.32044050537992', 'hvd.32044050537984'}		Life in India or The English at Calcutta
Maurice Frederick Denison	B5216	{5231189}		{'hvd.hn1qjy', 'hvd.hn1qjz'}		Eustace Conway or The brother and sister  a novel
Marryat Frederick	B5217	{6140619}		{'hvd.hn3bim', 'hvd.hn3bin'}		The pacha of many tales
Marryat Frederick	B5218	{4695032, 6144746}	{'Bibliographies', 'ContainsBiogMaterial'}	{'hvd.hwkpy9'}	{'Young men', '19th century', 'Midshipmen', 'Napoleonic Wars, 1800-1815', 'History, Naval', 'English fiction'}	Mr Midshipman Easy
Marryat Frederick	B5219	{8981681, 8265947}		{'hvd.hwkz9q'}	{'English fiction'}	Poor Jack
Benson Robert Hugh Spirit	B522	{3184136}		{'njp.32101067708238'}		None other gods
MacFarlane Charles	B5220	{4691108}		{'hvd.hwnp7a', 'hvd.hwnp79'}	{'History'}	The romance of history  Italy
Moulton Louise Chandler	B5221	{6596346}		{'inu.30000000867626'}	{'Social ethics'}	Ourselves and our neighbors short chats on social topics
MacDonald George	B5222	{8618521, 6802127}		{'inu.30000004069872'}		Cross purposes
MacDonald George	B5223	{8479402, 9431806}		{'inu.30000047616838'}		Adela Cathcart
Marryat Florence R M Church Lean	B5224	{8762872, 8586598}		{'inu.30000054101393', 'inu.30000054101278'}		The confessions of Gerald Estc
Malet Lucas	B5225	{6777673}		{'inu.30000054507920'}		The carissima a modern grotesq
Milton Henry	B5226	{8405801}		{'inu.30000132098835', 'inu.30000132098827', 'inu.30000132098843'}		Lady Cecilia Farrencourt
Miss Pardoe Julia	B5227	{8622601}		{'inu.32000001213554'}		The jealous wife
Martineau Harriet	B5228	{5139332, 6152102, 5226762, 5212394, 8246635, 8586165, 8585788, 6190270}		{'inu.32000004490787', 'uva.x002037427', 'mdp.39015028040718'}		Illustrations of taxation
Manning Anne	B5229	{9437738, 4852773}		{'inu.32000006995882'}		The interrupted wedding  a Hungarian tale
Beresford Hope A J B Alexander James Beresford	B523	{8545534}		{'njp.32101067708352'}		Strictly tied up  a novel
Maugham W Somerset William Somerset	B5230	{6810965, 6828589, 8878766}		{'inu.32000009125248'}		Mrs Craddock
MacGill Patrick	B5231	{2435699, 9112390}	{'Historical fiction'}	{'inu.39000000391446', 'nyp.33433074875596'}	{'Boardinghouses', 'Glasgow', 'Women immigrants', 'Scotland', 'Prostitutes', 'Irish', 'Poor women'}	The ratpit
Milne A A Alan Alexander	B5232	{3216753}		{'inu.39000002421613'}		Mr Pim
Mijatović Elodie Lawton	B5233	{6668584}		{'inu.39000005852889'}	{'Serbia', 'Folklore'}	Serbian folklore
Marvel Ik	B5234	{4989076}		{'loc.ark+=13960=t0xp7ht8j'}		Reveries of a bachelor
Maugham W Somerset William Somerset	B5235	{9024129, 6798093}		{'loc.ark+=13960=t3hx1xh4s'}		The merrygoround
Montagu Violette M	B5236	{6847150}		{'loc.ark+=13960=t4rj54j5c'}	{'Mme', 'Friends and associates', 'Court and courtiers', 'Biography', 'France', '1789-1815', 'Napoleon', '1769-1821', 'Nobility', '1752-1822', '(Jeanne-Louise-Henriette)', 'Campan', 'Louis XVI, 1774-1793', 'IsBiographical', 'History', 'Emperor of the French'}	The celebrated Madame Campan
Marcet Jane Haldimand	B5237	{5220623}		{'loc.ark+=13960=t6n01n96h'}	{'Economics'}	John Hopkinss notions on political economy
Makino Yoshio	B5238	{2441743}		{'loc.ark+=13960=t6qz33j81'}	{'Social life and customs', 'Japan'}	When I was a child
Morris Harrison S Harrison Smith	B5239	{3177249, 3180581, 8593759}		{'loc.ark+=13960=t71v66b97'}	{'1564-1616', 'Stories, plots, etc', 'Shakespeare, William', 'Adaptations'}	Tales from Shakespeare
Besant Walter Sir	B524	{3175756, 8875646}		{'njp.32101067708493'}		The fourth generation
Montague C E Charles Edward	B5240	{2447448}		{'mdp.39015000017817'}	{'World War, 1914-1918'}	Fiery particles
Marshall Archibald	B5241	{3207071}		{'mdp.39015000702095'}		The education of Anthony Dare
Meredith George	B5242	{8774297, 3211357, 8943685}	{'Bibliographies'}	{'wu.89000630681', 'mdp.39015066325542', 'uc1.b3328915', 'wu.89000630780', 'mdp.39015002327651', 'mdp.39076006605567', 'mdp.39015066325682', 'wu.89000630624', 'uc1.b3328922', 'uc1.b3328931', 'mdp.39015004114396', 'mdp.39015066324818', 'wu.89000630764', 'uc1.b3328925', 'uc1.b3328917', 'mdp.39015066325112', 'mdp.39015066324834', 'mdp.39015066324974', 'uc1.b3328930', 'uc1.b3328928', 'uc1.b3328916', 'mdp.39015066325690', 'wu.89000630723', 'uc1.b3328919', 'wu.89000630673', 'uc1.b3328934', 'wu.89000630756', 'mdp.39015066324826', 'mdp.39015066325120', 'wu.89000630665', 'wu.89000630442', 'nyp.33433067296149', 'uc1.b3328932', 'uc1.b3328933', 'uc1.b3328923', 'mdp.39015066325393', 'uc1.b3328920', 'mdp.39015009039309', 'wu.89000630806', 'mdp.39015013507721', 'wu.89000630640', 'mdp.39076006605476', 'wu.89000630699', 'wu.89000630731', 'mdp.39015066324966', 'wu.89000630707', 'wu.89000630632', 'wu.89000630657', 'uc1.b3328921', 'uc1.b3328927', 'wu.89000630749', 'mdp.39015066324800', 'mdp.39076006605443', 'nyp.33433067296099', 'mdp.39076006605559', 'uc1.b3328926', 'mdp.39015065432828', 'wu.89000630798', 'uc1.b3328924', 'mdp.39015012972082', 'uc1.b3328918', 'mdp.39015066324842', 'mdp.39015027577835', 'wu.89000630483', 'mdp.39076006605500', 'mdp.39015066324958', 'wu.89000630616', 'wu.89000630327', 'mdp.39076006605526', 'mdp.39015066325104', 'uc1.b3328929', 'mdp.39076006605427', 'mdp.39015066325385', 'nyp.33433067296172', 'nyp.33433067296107', 'wu.89000630467', 'wu.89000630772'}	{'English literature'}	The works of George Meredith
Moore George	B5243	{6830802, 2441372}		{'mdp.39015004317106'}		Spring days
Macgowan J John	B5244	{2442025, 6834275}		{'mdp.39015004766120'}	{'(OCoLC)fst00930306', '(OCoLC)fst01206073', 'Tales, Chinese', 'Tales', '(OCoLC)fst01142246', 'China', 'Folklore'}	Chinese folklore tales
MacDonald George	B5245	{8926001, 9435954}	{'Bibliographies', 'Christian fiction'}	{'mdp.39015005007086', 'mdp.39015005075125', 'uiuo.ark+=13960=t63495j2c'}	{'Scotland', 'Neighborhood', '823M14AN'}	Annals of a quiet neighbourhood
Maugham W Somerset William Somerset	B5246	{3236688}		{'mdp.39015005073476'}	{'World War, 1914-1918'}	Ashenden or The British agent
Maharani of Cooch Behar Sunity Devee	B5247	{3206650}	{'Autobiography'}	{'mdp.39015005121184'}	{'Social life and customs'}	The autobiography of an Indian princess
Molière	B5248	{4851032, 8878619}		{'mdp.39015005306504'}		The dramatic works of Molière rendered into English
Montague C E Charles Edward	B5249	{8934616}		{'uc1.$b103195', 'mdp.39015005678142'}		A hind let loose
Barbauld Anna Letitia Mrs	B525	{5157956}	{'Anthologies', 'Juvenile audience'}	{'njp.32101068138005'}	{'Women', 'Moral education', 'Miscellanea', 'Education', 'Juvenile literature'}	A legacy for young ladies  consisting of miscellaneous pieces in prose and verse
Marshall Archibald	B5250	{3182690}		{'mdp.39015005775294'}		Roding rectory
Mackenzie Donald A Donald Alexander	B5251	{3204548}		{'mdp.39015007010823'}	{'Scotland', 'Legends', 'Folklore'}	Wonder tales from Scottish myth  legend
Mitford Mary Russell	B5252	{8248331, 5156881, 4698171}		{'mdp.39015008020441'}		Our village sketches of rural character and scenery
Mackenzie Compton Sir	B5253	{2450009}		{'mdp.39015008515531'}		The heavenly ladder
Mackenzie Compton Sir	B5254	{3304530, 2441262}		{'mdp.39015008877360'}		The vanity girl
Marshall Archibald	B5255	{3206753}		{'mdp.39015009006910'}		Anthony Dares progress
Mundy Talbot	B5256	{3210732}	{'War stories', 'History', 'Historical fiction', 'Love stories'}	{'mdp.39015009020440'}	{'Sepoy Rebellion, 1857-1858', 'India', 'History', 'British'}	Kingof the Khyber rifles a romance of adventure
Machen Arthur	B5257	{6818646}		{'mdp.39015009193718'}	{'Fantasy fiction, English', 'Supernatural'}	The house of souls
Murasaki Shikibu	B5258	{3230355}		{'mdp.39015009212195'}		A wreath of cloud being the third part of The tale of Genji
Marshall Archibald	B5259	{8996362}		{'mdp.39015009280275'}		The greatest of these
Bunyan John	B526	{3203026, 4988323, 6800349, 6830710, 4854447}	{'Bibliographies'}	{'njp.32101068596012'}	{'Juvenile fiction', 'Christian pilgrims and pilgrimages'}	The pilgrims progress
Martin du Gard Roger	B5260	{2484906}		{'mdp.39015009381107'}		The Thibaults
Murasaki Shikibu	B5261	{3250393}	{'Bibliographies'}	{'mdp.39015010397001', 'mdp.39015053179746', 'mdp.39015020740315', 'mdp.39015053534700', 'uc1.32106009697753'}	{'Japan', 'Princes', 'Aristocracy (Social class)'}	The tale of Genji
Miller May Merrill Mrs	B5262	{3216793, 2438551}		{'mdp.39015011940163'}		First the blade
Montgomery L M Lucy Maud	B5263	{3195158}	{'Juvenile audience'}	{'mdp.39015012333046'}		Anne of the island
Masters Edgar Lee	B5264	{3199606}		{'mdp.39015013443166'}		Children of the market place
Morrison Arthur	B5265	{3284665, 6692551}		{'mdp.39015013734200', 'uc2.ark+=13960=t7np28w45'}		Divers vanities
Morand Paul	B5266	{3246223}		{'mdp.39015014174455'}		World champions
Mackenzie Compton Sir	B5267	{3212733}		{'mdp.39015014305521'}		The old men of the sea a romance of adventure in the south Pacific
Masefield John	B5268	{2492063}	"{'Autographs (Provenance)', ""Publishers' advertisements""}"	{'mdp.39015014498409'}		Minnie Maylows story and other tales and scenes
Masefield John	B5269	{2456007}		{'mdp.39015014502325'}		The hawbucks
Bury Charlotte Campbell Lady	B527	{4693235}		{'njp.32101069165320'}		Journal of the heart
Murray David Christie	B5270	{8813033}		{'mdp.39015014863198'}		Bob Martins little girl
Montague C E Charles Edward	B5271	{2449745}		{'mdp.39015016370895'}		Rough justice
Marlowe Mary	B5272	{3216123}		{'mdp.39015018001159'}		The women who wait
MacDonald George	B5273	{9158416}		{'uiuo.ark+=13960=t2r50508t', 'mdp.39015048881984', 'mdp.39015019783763'}		Robert Falconer
McNeile H C Herman Cyril	B5274	{9344459, 3195812}		{'mdp.39015023145207'}	{'1914 - 1918', 'World War (1914-1918)', '(OCoLC)fst01180746', 'World War, 1914-1918'}	No Mans Land
Multatuli	B5275	{8793124, 8496645}		{'mdp.39015024851654'}	{'Politics and Government', 'Colonies', 'East Indies'}	Max Havelaar or The coffee auctions of the Dutch trading company
Mottram R H Ralph Hale	B5276	{2480082, 2450678}		{'mdp.39015025098750'}		The Spanish farm trilogy 19141918
Malet Lucas	B5277	{8880211, 6788507}	{'Novel', 'ContainsBiogMaterial'}	{'mdp.39015026502941'}		The history of Sir Richard Calmady a romance
Maartens Maarten	B5278	{3162800}		{'mdp.39015030007754'}		The greater glory
Michaëlis Karin	B5279	{6802250}		{'mdp.39015030074325'}		The child Andrea
Bury Charlotte Campbell Lady	B528	{8290032}		{'njp.32101069165387', 'njp.32101069165379'}		Alla giornata  or To the day
Maxwell W B William Babington	B5280	{9069208, 6799347}		{'mdp.39015030383635'}		The rest cure
Mackenzie Compton Sir	B5281	{2444520, 8934595, 3198456}		{'mdp.39015030704350'}		The passionate elopement
Masefield John	B5282	{3231581}		{'mdp.39015030705993'}		The taking of the Gry
Maugham W Somerset William Somerset	B5283	{3263753, 3422994}		{'mdp.39015030706421'}		The making of a saint
Meredith George	B5284	{8932114, 3287388}		{'mdp.39015030707338'}		Celt and Saxon
Moorman Frederic William	B5285	{9138205}		{'mdp.39015030709318'}		Tales of the Ridings
Moulton Leonard Bowdoin	B5286	{9098862}		{'mdp.39015030764669'}	{'Short stories'}	Short stories
Macaulay Rose Dame	B5287	{3233449}		{'mdp.39015031241618'}		Orphan Island
Morley Christopher	B5288	{2483692}		{'mdp.39015031297305'}		Thunder on the left
Morgan Sydney Lady	B5289	{8903090, 6177782}		{'uc1.b3326171', 'uc1.b3326170', 'mdp.39015033170096'}		The princess or The Beguine
Bowman Anne	B529	{5009474, 9086991}		{'njp.32101069191516'}	{'Voyages, Imaginary', 'Shipwreck survival', 'Families'}	Esperanza or The home of the w
Marshall Archibald	B5290	{6855721, 3167523, 9048694}		{'mdp.39015035851362'}		Many Junes
Munroe Hector Hugh	B5291	{2438270}		{'mdp.39015039610442'}		The chronicles of Clovis
Mottram R H Ralph Hale	B5292	{3320862}		{'mdp.39015039731628'}		Castle island
Mottram R H Ralph Hale	B5293	{3212579}		{'mdp.39015039731669'}		Our Mr Dormer
Marshall Archibald	B5294	{6685241, 3187885, 8868750}		{'mdp.39015048891694'}		The house of Merrilees
Mackenzie Compton Sir	B5295	{2453940}		{'mdp.39015048901014'}		The three couriers
Malory Thomas Sir	B5296	{8658736, 8631421}	{'Bibliographies'}	{'mdp.39015048903010', 'nyp.33433082514716', 'mdp.39015048903143'}	{'Romances', 'Kings and rulers', 'Arthurian romances', 'Knights and knighthood'}	La mort dArthure The history of King Arthur and of the knights of the Round Table
Morand Paul	B5297	{6806120}		{'mdp.39015053627546'}		The living Buddha
Murray Eustace Clare Grenville	B5298	{8526748}		{'mdp.39015058480040', 'mdp.39015063560570', 'mdp.39015063560588', 'mdp.39015058480032'}		French pictures in English cha
Massie W	B5299	{8584150, 9030359}		{'mdp.39015059371412', 'mdp.39015059371420'}		Alice Paulet a sequel to Sydenham or Memoirs of a man of the world
Adams F Colburn Francis Colburn	B53	{8620451}		{'njp.32101068162740', 'njp.32101068162732'}		Our world or The democrats rul
Bernhardt Sarah	B530	{3206380}		{'njp.32101072887225'}		The idol of Paris
Merrick Leonard	B5300	{8985969, 6810419}		{'mdp.39015059371875'}	{'Great Britain', 'Theater'}	Conrad in quest of his youth an extravagance of temperament
Montrésor Frances Frederica	B5301	{3178344}		{'mdp.39015059396625'}		Into the highways  hedges
Murray David Leslie	B5302	{3230933}		{'mdp.39015059413180'}		Stardust
McKenna Stephen	B5303	{3195015}		{'mdp.39015059414691'}		Ninetysix hours leave
McKenna Stephen	B5304	{3214226}		{'mdp.39015059414733'}		The shadow of Guy Denver
Mallock W H William Hurrell	B5305	{8720648}	{'Bibliographies'}	{'mdp.39015059414857'}		The new republic or Culture faith and philosophy in an English country house
Merrick Leonard	B5306	{6785322, 3173478}		{'mdp.39015059415896'}		When love flies out o the wind
Morris William	B5307	{8842950}		{'mdp.39015061931054', 'mdp.39015061932284'}		The well at the worlds end
Mme Pisani Marianna	B5308	{8788946, 6144973}		{'uc1.b3327584', 'uc1.b3327582', 'mdp.39015062237170', 'uc1.b3327583'}		Vandeleur or Animal magnetism A novel
Malet Lucas	B5309	{3211505}		{'mdp.39015063550340'}		The Tall villa
Bungener Félix	B531	{5005941}		{'njp.32101072915547'}	{'History', 'Louis XV, 1715-1774'}	France before the revolution or Priests infidels and Huguenots in the reign of Louis XV
McCarthy Justin H  Justin Huntly	B5310	{6772962, 8877946}	{'ContainsBiogMaterial'}	{'mdp.39015063933181'}	{'In literature', 'Louis XI, 1461-1483', 'b. 1431', 'Villon, François', 'Villon, François', 'History'}	If I were king
Mathews Frances Aymar	B5311	{6798666, 6809091, 8893436}		{'mdp.39015063934429'}		My lady Peggy goes to town
Martin Helen Reimensnyder	B5312	{6801969}		{'mdp.39015063934726'}	{'Pennsylvania', 'Farmers', 'Mennonites', 'Pennsylvania Dutch'}	Tillie a Mennonite maid a story of the Pennsylvania Dutch
Mason A E W Alfred Edward Woodley	B5313	{8845112, 3153162, 6655983}		{'mdp.39015063934833'}		Lawrence Clavering
Marriage Caroline	B5314	{6819768, 6812058, 8886208}		{'mdp.39015063935053'}		The luck of Barerakes
Mitchell John Ames	B5315	{6764955}		{'mdp.39015063938040'}		Gloria victis
Murfree Mary Noailles	B5316	{8956648}		{'mdp.39015063941101'}		The story of Duciehurst a tale of the Mississippi
McCutcheon George Barr	B5317	{9061557}		{'mdp.39015063941622'}		The alternative
McNeile H C Herman Cyril	B5318	{3227128}		{'mdp.39015063944022'}		Jim Maitland
Merrick Leonard	B5319	{6756730, 6755579, 8876527}		{'mdp.39015063944519'}		The worldlings
Bell Catherine D Catherine Douglas	B532	{4989875}		{'njp.32101073371773'}	"{""Children's stories, Scottish""}"	Margaret Cecil or I can because I ought
Mayne Ethel Colburn	B5320	{2446094}		{'mdp.39015063944964'}		Nine of hearts
Miller Patrick	B5321	{2449961}		{'mdp.39015063945185'}		The natural man
Morris Gouverneur	B5322	{6823026}		{'mdp.39015063945581'}		Aladdin OBrien
Montgomery Florence	B5323	{8693219}		{'nyp.33433074902341', 'mdp.39015063947892'}		Thwarted or Ducks eggs in a he
Moore Thomas	B5324	{8782947, 5811551}		{'mdp.39015063949518'}		The Fudges in England being a sequel to the Fudge family in Paris
Marlitt E Eugenie	B5325	{8618458}		{'mdp.39015064446274'}		The second wife
Mayhew Horace	B5326	{9176132}		{'mdp.39015064795241'}		Letters left at the pastrycooks  being the clandestine correspondence between Kitty Clover at school and her dear dear friend in town
Mancur John H John Henry	B5327	{5141690, 8313292, 8777366}		{'mdp.39015065444849', 'mdp.39015065444831', 'mdp.39015065444856'}	{'Henry', '1553-1610', 'IV', 'King of France'}	Henri Quatre or The days of the league
Meredith George	B5328	{3179820}		{'nyp.33433076078421', 'uiuo.ark+=13960=t3611q55j', 'mdp.39015065444971'}		The amazing marriage
Mayhew Henry	B5329	{5011902}	{'Juvenile audience'}	{'mdp.39015065549035'}	{'Popular works', 'Ferguson, James', 'Science', '1710-1776'}	The story of the peasantboy philosopher or The child gathering pebbles on the seashore Founded on the early life of Ferguson the shephardboy astronomer and intended to show how a poor lad became acquainted with the principles of natural science
Baronne d Oberkirch Henriette Louise von Waldner	B533	{9006631, 4993606, 9452735}		{'njp.32101073593145'}	{'Social life and customs', 'History', 'Louis XVI, 1774-1793'}	Memoirs of the Baroness dOberkirch countess de Montbrison
Mille Pierre	B5330	{8981254}		{'mdp.39015065803465'}		Under the tricolour
MacLane Mary	B5331	{6794061}		{'mdp.39015066051429'}		The story of Mary MacLane
Mansfield Katherine	B5332	{2446208}		{'mdp.39015066054001'}	{'New Zealand writers, 1907- - Texts', 'Short stories in English'}	The garden party and other sto
MacDonald George	B5333	{6826100}	{'Juvenile audience'}	{'mdp.39015066637433'}		The princess and the goblin
McCormick A D Arthur David	B5334	{3176844}		{'mdp.39015067227945'}	{'Description and travel'}	An artist in the Himalayas
Molesworth Mrs	B5335	{3218661, 3222743}	{'Juvenile audience'}	{'mdp.39015083456759'}	{'Cuckoos', 'Juvenile fiction', 'Fantasy fiction', 'Clocks and watches', 'Behavior'}	The cuckoo clock
