author	latestcomp	shorttitle
Kiefer, Edgar W. (Edgar Weber)	1956.0	The Suevian
Manfred, Frederick Feikema	1956.0	Morning red; a romance
	1956.0	Theologia ruris, sive schola et scala naturae (1686)
Dennis, Patrick	1956.0	The loving couple
Tesch, Gerald	1956.0	Never the same again
Solovʹev, Leonid Vasilʹevich	1956.0	Adventures in Bukhara
Orr, Myron David	1956.0	Mission to Mackinac
Emperor of Rome, Marcus Aurelius	1956.0	Meditations of Marcus Aurelius
Morley, Felix M (Felix Muskett)	1956.0	Gumption Island; a fantasy of coexistence
Little, Jay	1956.0	Somewhere between the two : a new novel
Beechwood, Mary	1956.0	Memphis Jackson's son
Buck, Pearl S. (Pearl Sydenstricker)	1956.0	Imperial woman : a novel
Steggerda, Orville	1956.0	Each day is new
La Croix, Robert de	1954.0	Mysteries of the North Pole
Hegedus, Adam de	1956.0	The struggle with the angels : a novel
Scarfoglio, Carlo	1956.0	The true cross, 1177-1192;
Adeney, Noël	1956.0	No coward soul : a novel
King, Francis Henry	1956.0	The firewalkers : a memoir, Frank Cauldwell [pseud.]
Fleischmann, Albert C	1956.0	Echos in rhyme
Waltari, Mika	1956.0	The Etruscan
Smith, Thomas Vernor	1956.0	Philosophers speak for themselves
Lawrence, D. H. (David Herbert)	1930.0	Short novels
Lawrence, D. H. (David Herbert)	1930.0	Short novels
Marquand, John P. (John Phillips)	1956.0	North of Grand Central : three novels of New England: The late George Apley, Wickford Point, H. M. Pulham, Esquire ; with new prefaces by the author and with an introduction by Kenneth Roberts
Waugh, Evelyn	1948.0	The loved one : an Anglo-American tragedy
Wilder, Thornton	1956.0	A Thornton Wilder trio: The cabala, The bridge of San Luis Rey, The woman of Andros
O'Connor, Frank	1956.0	Stories by Frank O'Connor
Harris, Mark	1956.0	Bang the drum slowly
Burnett, W. R. (William Riley)	1956.0	Pale Moon
Finch, Matthew	1956.0	Teething troubles
Lester, Bernard	1956.0	Weatherby crisis
Yi, Mi-rŭk	1950.0	The Yalu flows, a Korean childhood
Palmer, Stuart	1956.0	Unhappy hooligan
Hersey, John	1956.0	A single pebble / John Hersey
Bowen, Vernon	1956.0	The Emperor's white horses
Pendleton, Everett Hall	1956.0	Early New England Pendletons; with some account of the three groups who took the name Pembleton, and notices of other Pendletons of later origin in the United States
Collins, Hunt	1956.0	Tomorrow and tomorrow
	1956.0	The end of the world
Mars, Alastair	1956.0	H.M.S. Thule intercepts / Alastair Mars
Smith, Mabel Waln	1956.0	Land of swift-running horses; a summer of adventures in Mongolia
Titus, Eve	1956.0	Anatole
Brecht, Bertolt	1956.0	Threepenny novel
Abrahams, Peter	1956.0	A wreath for Udomo
Bedford, Sybille	1956.0	A legacy : a novel
Bennett, Arnold	1931.0	Riceyman steps, and Elsie and the child
De la Mare, Walter	1956.0	Ghost stories
West, Rebecca, Dame	1956.0	The harsh voice : four short novels
White, W. J	1956.0	One for the road
Wodehouse, P. G., (Pelham Grenville)	1956.0	The clicking of Cuthbert
Wodehouse, P. G., (Pelham Grenville)	1956.0	The luck of the Bodkins
Larkin, Philip	1956.0	A girl in winter : a novel
Lawrence, D. H. (David Herbert)	1930.0	Love among the haystacks. The ladybird. The fox. The captain's doll
Prichard, Katharine Susannah	1956.0	Coonardoo : (The well in the shadow)
Stow, Randolph	1956.0	A haunted land
Lee, Jai Hyon	1956.0	Korean lore
Patten, David	1956.0	Three sides to the sea; memories of a Scunnet childhood
Rutzebeck, Hjalmar	1956.0	Mad sea; the life and loves of a windjammer sailor
Elmberg, John Erik Oscar, 1917-	1956.0	Islands of tomorrow
Raphael, Chaim	1956.0	A capitol offense; an entertainment
Stirling, Monica	1956.0	Some darling folly, a novel
Wees, Frances Shelley	1956.0	The keys of my prison
Blackstock, Charity	1956.0	Dewey death
Stewart, Mary	1943.0	Madam, will you talk?
Map, Walter	1956.0	King Herla's quest, and other medieval stories from Walter Map
Hall, Rosalys Haskell	1956.0	Bertie and Eddie
Robinson, Robert Henry	1956.0	Landscape with dead dons
McGivern, William P	1956.0	The seven file
Lockridge, Frances Louise Davis	1956.0	Voyage into violence
Gibbs, Philip	1956.0	The ambassador's wife : a novel
Harris, John	1956.0	Close to the wind
Malm, Dorothea	1956.0	Claire
Barrett, William E.  (William Edmund)	1956.0	The sudden strangers
Macmillan, Cyrus	1953.0	Glooskap's country, and other Indian tales
Farjeon, Eleanor	1956.0	The little bookroom;
Wiese, Kurt	1956.0	The cunning turtle
Cook, Bernadine	1956.0	The curious little kitten
Pohlmann, Lillian	1956.0	Myrtle Albertina's secret
Barnes, Margaret Campbell	1955.0	Mary of Carisbrooke
Barlow, James	1956.0	The protagonists
Markandaya, Kamala	1956.0	Some inner fury
Helfenberger, Elin	1956.0	The TSMF Gestalt
Franko, Ivan	1916.0	Poems and stories
Seckar, Alvena V	1956.0	Misko
Turngren, Ellen	1956.0	Listen, my heart
Sutcliff, Rosemary	1956.0	The shield ring
Hunter, Evan	1956.0	Second ending;
Louth, Leopold	1956.0	Cabbage in the grass
Davis, Paxton	1956.0	Two soldiers
Fairbairn, Douglas	1956.0	A man's world, a novel
Marshall, Alan	1956.0	How's Andy going?
King, Francis Henry	1956.0	The dark glasses
Harris, Rosemary	1956.0	The summer-house
Hastings, Phyllis	1956.0	Her French husband
Halper, Albert	1956.0	Atlantic Avenue
Heney, Helen	1956.0	This quiet dust : a novel
Henriques, Veronica	1956.0	Love for a convict
Walewska, Mathilde	1956.0	My lovely mamá
Yates, Dornford	1936.0	Berry and Co
Isvaran, Manjeri S	1956.0	Painted tigers : stories
Kuban, Sheila	1956.0	Dance into danger
Pearson, William	1956.0	Hunt the man down
Phillpotts, Eden	1956.0	Connie Woodland
Magsano, Maria C	1956.0	My sacred oath : a novel
Mankowitz, Wolf	1956.0	My old man's a dustman
Nielsen, Helen	1956.0	The crime is murder
Saki	1916.0	76 short stories comprising Reginald, The chronicles of Clovis
Richie, Donald	1956.0	This scorching earth; a novel
Rosmond, Babette	1956.0	The children, a comedy for grownups
Romaniello, John	1956.0	Bird of Sorrow
Sullivan, Richard	1956.0	The three kings
Steen, Marguerite	1955.0	The unquiet spirit, a tale
Stern, G. B. (Gladys Bronwyn)	1956.0	For all we know
McIlwain, David	1956.0	Escapement
Wallace, Doreen Eileen Agnew	1956.0	The interloper
James, Brian	1956.0	The bunyip of Barney's elbow
Horgan, Paul	1954.0	Humble powers
Muzumdar, Sachindra	1956.0	Creatures of destiny
Clancy, Carl Stearns	1956.0	The saga of Leif Ericsson, discoverer of America
Keogh, Theodora	1956.0	My name is Rose
Roy, Jules	1956.0	The unfaithful wife
Booth, Edward Charles	1956.0	The tree of the garden
McCullough, Esther Morgan	1956.0	As I pass, O Manhattan; an anthology of life in New York
Mahuzler, Albert	1956.0	Tragic safari;
Kramer, N. Martin	1956.0	The hearth and the strangeness
Benson, Robert Hugh, (Spirit)	1906.0	Richard Raynal, solitary
Biddle, Livingston	1956.0	The village beyond
Boles, Paul Darcy	1956.0	Glenport, Illinois
Borden, Mary	1956.0	The hungry leopard, a novel
Bright, Robert	1956.0	The spirit of the chase
Anderson, Ethel Louisa Mason	1956.0	At Parramatta
Ashton, Helen	1956.0	The Half-Crown House
Austin, Alex	1956.0	The greatest lover in the world
Beals, Carleton	1956.0	Taste of glory; a novel
Beheler, Laura	1956.0	The paper dolls
Buchanan, B. J	1956.0	Tender is the knife
Burnett, John G	1956.0	Company man
Delmar, Viña	1956.0	Beloved
Dewlen, Al	1956.0	The night of the tiger
Clive, Mary, Lady	1956.0	Christmas with the Savages
Geer, Andrew Clare	1956.0	Canton barrier
Harrison, Helga	1956.0	The keepers of the walls
Duke, Osborn	1956.0	Sideman, a novel
Du Bois, William	1956.0	A season to beware
Douglass, Donald McNutt	1956.0	Rebecca's Pride
Hickling, R. H	1954.0	Falconer's voyage
Henriques, Robert David, Quixano	1956.0	Red over green, a novel
Plaidy, Jean	1956.0	Royal road to Fotheringay
Johnson, Sikes	1956.0	The hope of refuge
Giles, Janice Holt	1956.0	Hannah Fowler
Hollands, Douglas John	1956.0	Able Company
Modell, Merriam	1956.0	The lady and her doctor
Judah, Charles Burnet	1956.0	Christopher Humble
Mackersey, Ian	1956.0	Position unknown
McMinnies, Mary	1956.0	The flying fox : a novel
McMeekin, Clark	1956.0	The October fox
Huntington, Gladys Parish	1956.0	Madame Solario; [a novel]
Nathan, Robert	1956.0	The Rancho of the Little Loves;
Nelson, James	1956.0	The trouble with gumballs; the story of an expensive venture into free enterprise
Parker, Cornelia Stratton	1956.0	Fabulous valley, a novel
Parker, Richard	1956.0	Harm intended
Frizell, Bernard	1956.0	Ten days in August; a novel
Finegan, Jack	1956.0	Wanderer upon earth
Fisher, Vardis	1956.0	A goat for Azazel; a novel of Christian origins
Gallant, Mavis	1955.0	The other Paris; stories
O'Brien, Saliee	1956.0	Farewell the stranger
Rickwood, Mary	1956.0	More laughter for Sam
Rosaire, Forrest	1956.0	White night; a novel
Runbeck, Margaret Lee	1956.0	The year of love
Sanders, Jacquin	1956.0	The fortune finders
Llewellyn, Richard	1956.0	Mr. Hamish Gleave; a novel
Kircher, Susanne	1956.0	Here in this island
Shedd, Margaret	1956.0	Run
Scott, J. M. (James Maurice)	1955.0	Sea-Wyf
Selby, John	1956.0	Time was
Stong, Phil	1956.0	"The adventure of ""Horse"" Barnsby"
Kaufman, Maxine	1956.0	I am Adam
Thayer, Tiffany	1956.0	
Thayer, Tiffany	1956.0	Mona Lisa
Thayer, Tiffany	1956.0	Mona Lisa
Walker, David E. (David Esdaile)	1955.0	Adventure in diamonds
Wakeman, Frederic	1956.0	Deluxe tour
Wallop, Douglass	1956.0	The sunken garden
Taylor, Ward	1956.0	Roll back the sky, a novel
Thorin, Duane	1956.0	A ride to Panmunjom
Mason, F. van Wyck (Francis van Wyck)	1956.0	Our valiant few
Bridge, Ann	1956.0	The lighthearted quest
	1956.0	To the hustings : election scenes from English fiction
Hungerford, T. A. G. (Thomas Arthur Guy)	1956.0	Australian signpost, an anthology;
Jordon, John Alfred	1956.0	Mongaso: man who is always moving; the story of an African hunter
Corey, Paul	1956.0	Milk Flood
Glanville, Brian	1956.0	Along the Arno
Rowbotham, David	1956.0	Town and City : tales and sketches
Mannin, Ethel	1956.0	The living lotus
Sørensen, Villy	1956.0	Strange stories
Lauring, Palle	1956.0	The Roman
Flores, Angel	1956.0	Great Spanish stories
Lernet-Holenia, Alexander	1956.0	Count Luna; two tales of the real and the unreal: Baron Bagge [translated by Richard & Clara Winston] and Count Luna [translated by Jane B. Greene] Introd. by Robert Pick
Bacchelli, Riccardo	1953.0	Son of Stalin
Schofield, William G. (William Greenough)	1956.0	Seek for a hero; the story of John Boyle O'Reilly
Lutz, Emil Hans Georg	1956.0	Men with golden hands; a book of surgical miracles
Mohr, U. (Ulrich)	1956.0	Ship 16, the story of the secret German raider Atlantis
Epstein, Sam	1956.0	The Andrews raid; or, The great locomotive chase, April 12, 1862
Opitz, Karlludwig	1956.0	The general;
Chevallier, Gabriel	1955.0	The wicked village; a story of Clochemerle
Bodart, Anne	1956.0	The blue dog, and other fables for the French
Murdoch, Iris	1956.0	The flight from the enchanter
Albrand, Martha	1956.0	The Linden affair
	1956.0	The Ladies' home journal treasury
Casey, Gavin	1956.0	Walk into paradise
De Lisser, Herbert George	1944.0	The cup and the lip : a romance
Dillon, Eilís	1956.0	Death in the quadrangle
Doyle, Arthur Conan, Sir	1930.0	The complete Napoleonic stories
Taylor, Samuel Woolley	1956.0	I have six wives; a true story of present-day plural marriage
Almirall, Leon Vincent	1956.0	From college to cow country
Laszlo, Andreas E	1956.0	Doctors, drums, and dances
Hagler, Margaret G. (Margaret Grace)	1956.0	The freedom man : a novel
Dick, Philip K	1956.0	The world Jones made
Matheson, Richard	1956.0	The shrinking man
Edogawa, Rampo, pseud	1956.0	Japanese tales of mystery & imagination, by Edogawa Rampo [pseud.]
	1956.0	The Legend of Io : engravings on wood by Rona Dyer
Levner, I. B. (Israel Benjamin)	1916.0	The legends of Israel : from the birth to the death of Moses
Fisher, Dorothy Canfield	1956.0	A harvest of stories
Gordimer, Nadine	1956.0	Six feet of the country
Stewart, J. I. M. (John Innes Mackintosh)	1956.0	Old Hall, New Hall
Rama Sarma, M. V	1956.0	The stream : a novel
Symons, Julian	1956.0	Bogue's fortune
Fairchild, Garet	1956.0	Prisoners in the Riff : a novel
Amshey, Edward	1956.0	Picnic in November : a novel
Lange, Carl W	1956.0	The other horizon
Livingston, Ruth McAuliff	1956.0	One link was golden : a novel
Richards, Sara Lippincott	1956.0	After success, what?
Venafro, Mark, pseud	1956.0	The grand chase
	1956.0	Glass blowing on the glass lathe : a manual of basic techniques. Ten projects described and illustrated, with appendix of general glassworking information
Lindner, Robert Mitchell	1956.0	The fifty-minute hour : a collection of true psychoanalytic tales
Kirst, Hans Hellmut	1956.0	Foreward, gunner Asch!
Nelson, F. William (Francis William)	1956.0	Pincher Martin
Settle, Mary Lee	1956.0	O Beulah Land
Powers, J. F. (James Farl)	1956.0	The presence of Grace
Thornton, Francis Beauchesne	1956.0	The donkey who always complained : a parable for moderns
Romainiello, John	1956.0	Escape from Red China : Original title: Bird of Sorrow
Clark, Electa	1956.0	Spanish gold and Casey McKee
Gipson, Fred	1956.0	Old Yeller
Waugh, Evelyn	1956.0	A handful of dust : Decline and fall
Runes, Dagobert D. (Dagobert David)	1956.0	Treasury of world literature
Druon, Maurice	1956.0	The Iron King, a novel
Heinlein, Robert A. (Robert Anson)	1956.0	Double star
Habe, Hans	1956.0	Off limits; a novel of occupied Germany
Arnothy, Christine	1956.0	I am fifteen and I do not want to die;
Bellow, Saul	1956.0	Seize the day
Upfield, Arthur William	1956.0	The man of two tribes
Macdonald, Ross	1956.0	The barbarous coast
Aichinger, Ilse	1956.0	The bound man, and other stories
De Onís, Harriet	1954.0	Spanish stories and tales
Unamuno, Miguel de	1936.0	Abel Sanchez, and other stories
Marsh, Ngaio	1956.0	Death of a fool
Sayers, Dorothy L. (Dorothy Leigh)	1956.0	Clouds of witness : and The unpleasantness at the Bellona Club
Sturgeon, Theodore	1956.0	E pluribus unicorn : a collection of short stories of Theodore Sturgeon
Welles, Orson	1956.0	Mr. Arkadin
Prager, Hans Georg	1956.0	Through Arctic hurricanes; adventure in a fishery protection ship
Monkman, Noel	1956.0	Escape to adventure
Beebe, William	1956.0	Adventuring with Beebe;
Timmermans, Felix	1947.0	A Christmas tripych
Somadeva Bhaṭṭa	1956.0	Stories from Somadeva's Kathasaritsagara
Ka-tzetnik 135633	1956.0	House of dolls
Bosco, Henri	1956.0	Monsieur Carre-Benoît in the country
Wiseman, Adele	1956.0	The sacrifice
Gibson, Ronald	1956.0	Nine days, 17th to 25th September, 1944
Druon, Maurice	1956.0	The Iron King
Druon, Maurice	1956.0	The strangled queen
Macken, Walter	1956.0	God made Sunday, and other stories
	1956.0	Reader's digest condensed books : v.1, 1956, winter selections
	1956.0	Reader's digest condensed books : summer 1956 selections, vol. 3
	1956.0	Reader's digest condensed books : autumn 1956 selections, vol. 4
Simpson, John L. (John Lowrey)	1956.0	A holiday in wartime, and other stories; episodes of occupied Belgium and France, 1915-1917
Venables, Ursula	1956.0	Life in Shetland, a world apart
Gellert, Leon	1956.0	Year after year
Babson, Naomi Lane	1956.0	Another sky
De Mare, George	1956.0	The empire
Echard, Margaret	1956.0	Born in wedlock, a novel
MacCallum, Mungo	1956.0	A voyage in love : a novel
Jesse, F. Tennyson (Fryniwyd Tennyson)	1956.0	The dragon in the heart; a love story
Barker, Dudley	1956.0	This green and pleasant land
Sydnor, W. Leon	1956.0	Veronica, a novel
Hart, Frank W. (Frank William)	1956.0	Oil for the light of the world
Hanna, Frances	1956.0	The loner
Yovitchitch, Lena A	1956.0	Within closed frontiers; a woman in wartime Yugoslavia
Bolds, George	1954.0	Across the Cimarron
Wodehouse, P. G., (Pelham Grenville)	1956.0	Lord Emsworth and others
Lawrence, D. H. (David Herbert)	1930.0	Sons and lovers. Phoenix ed
Mass, Nuri	1956.0	Where the Incas trod;
Gronowicz, Antoni	1956.0	Modjeska, her life and loves
	1956.0	Peotone on parade, 1856-1956 : centennial celebration, August 2-3-4-5, '56
Howard, Len	1956.0	Living with birds
Howells, Victor	1956.0	A naturalist in Palestine
Lawrence, Josephine	1956.0	The empty nest
Agee, James	1955.0	A death in the family
Vansittart, Peter	1956.0	The game and the ground : a novel
Packer, Joy Petersen, Lady	1956.0	Valley of the vines, a novel
Carr, Harriett H	1956.0	Sharon
Coombs, Charles Ira	1956.0	Young readers ranch mystery : (Young ranch detective)
Hall, Marjory	1956.0	Mirror, mirror
Price, Christine	1956.0	Song of the wheels
Rushmore, Helen	1956.0	Chief takes over
Young, John Richard	1956.0	Arizona cutting horse
Holland, Melvin Ned	1956.0	Escape to the land
pseud. Stevenson, John P	1956.0	The captain general
Noble, Arthur Henry	1956.0	Three ships came sailing
Olson, Oscar	1956.0	I joined the Mounties
Richter, Hans Werner	1956.0	They fell from God's hand
Ledyard, Patricia	1956.0	Friendly Island
Sobolev, Leonid	1956.0	The green light; a story
Esfandiary, Fereidoun M	1956.0	The beggar
Verdier, Marguerite Louise	1956.0	The master initiate and the maid
Rogge, Bernhard	1956.0	The German raider Atlantis
Holbrook, Stewart Hall	1956.0	Wyatt Earp, U.S. Marshal
Krishnamurti, J. (Jiddu)	1956.0	Commentaries on living : first-third series, from the notebooks of J. Krishnamurti
Krishnamurti, J. (Jiddu)	1956.0	Commentaries on living : first-third series, from the notebooks of J. Krishnamurti
Ferguson, Ruby	1956.0	For every favour
Raymond, Diana	1956.0	Between the stirrup and the ground : a novel
Rowdon, Maurice	1956.0	Perimeter West
Kingman, Lee	1956.0	The magic Christmas tree
Hulme, Kathryn	1956.0	The nun's story
Millholland, Ray	1956.0	Blue Chip Haggerty; the collected stories
Short, Raymond W. (Raymond Wright)	1956.0	Short stories for study; an anthology
Embry, Margaret	1956.0	The blue-nosed witch
Boylan, Grace Duffie	1935.0	Young folks' Uncle Tom's cabin
Dempsey, Vincent J	1956.0	Cabin boy
Grant, Bruce	1956.0	Longhorn : a story of the Chisholm Trail
Pardee, Laura	1956.0	Lucky days / by Laura Pardee and Elizabeth Young ; illustrated by Dorothy Bayley Morse
Barringer, Daniel Moreau	1956.0	And the waters prevailed
Tekeyan, Charles	1956.0	N.Y. is all ours! : and other stories
Wakimoto, M. C	1956.0	Who started it?
Goes, Albrecht	1956.0	The burnt offering;
Helander, Gunnar	1956.0	Black rhapsody
Swan, Michael	1956.0	The paradise garden
Marquand, John P. (John Phillips)	1956.0	North of Grand Central; three novels of New England:
McDonald, N. C	1956.0	Fish the strong waters
Callow, Philip	1956.0	The Hosanna man; a novel
Chamberlain, Anne	1956.0	The soldier room
Robinson, Julien Louis	1956.0	Silence is Goldberg
Beaty, David	1956.0	The proving flight, a novel
Lindop, Audrey Erskine	1956.0	The Judas figures
Mortimer, John	1956.0	Three winters / John Mortimer
Boulle, Pierre	1956.0	Saving face
Carton, Jacques	1956.0	La belle Sorel
Mansfield, Katherine	1923.0	Stories. Selected
Costain, Thomas B. (Thomas Bertram)	1956.0	Stories to remember
Costain, Thomas B. (Thomas Bertram)	1956.0	Stories to remember
	1956.0	Beginnings:
Lowry, Robert	1956.0	What's left of April
Eliot, George Fielding	1956.0	Caleb Pettengill, U. S. N
Coxe, George Harmon	1956.0	Suddenly a widow
Pulvertaft, Lalage	1956.0	No great magic
Dickens, Monica	1956.0	The angel in the corner
Han, Suyin	1956.0	and the rain my drink
Hardy, Frank Joseph	1956.0	Power without glory : a novel
Simenon, Georges	1955.0	Inspector Maigret and the burglar's wife. Maigret et la grande perche
Costain, Thomas B. (Thomas Bertram)	1956.0	Stories to remember selected by Thomas B. Costain and John Beecroft
Bush, Christopher	1955.0	The case of the benevolent bookie
Miller, Helen (Topping)	1956.0	Christmas for Tad; a story of Mary and Abraham Lincoln
Webster, Barbara	1956.0	The green year
Barth, John	1956.0	The floating opera
Gilbert, Miriam	1956.0	Eli Whitney : master craftsman
O'Hara, John	1956.0	Selected short stories of John O'Hara
	1956.0	The core of the Bible
McBain, Ed	1956.0	The mugger
Franco, Eloise	1956.0	Journey into a strange land
Batchelor, Paula	1956.0	If this be virtue
Kawabata, Yasunari	1956.0	Snow country, and Thousand cranes : the Nobel Prize edition of two novels
Wentworth, Patricia	1956.0	The fingerprint : a Miss Silver mystery
Heal, Edith	1956.0	The shadow boxers
Brady, Charles A. (Charles Andrew)	1956.0	Viking summer
Dye, William H	1956.0	The devil's cameo : a novel of suspense and detection
Alexander, David	1956.0	The murder of Whistler's brother : a Bart Hardin mystery novel
Markham, Edgar Cary	1956.0	Return to Eden
Huston, McCready	1956.0	The gates of brass
Melville, Annabelle M. (Annabelle McConnell)	1956.0	Rue the reservoir : a mystery novel
Jontez, Ivan	1956.0	Trouble on East Green Street, a novel
Fortmayer, Zas	1956.0	Came a gentleman
Bunce, Frank	1956.0	Rehearsal for murder, a crime novel
Mauder, Jack G	1956.0	Love off schedule
Lacy, Ed	1956.0	Visa to death
Sturgeon, Theodore	1956.0	The king and four queens; an original western
Thompson, Thomas	1956.0	Born to gunsmoke
Kane, Frank	1956.0	Key witness : an original novel
Smith, George O. (George Oliver)	1956.0	The space plague
	1956.0	S-F, the year's greatest science-fiction and fantasy
Borne, Rachael	1956.0	Violins at dawn
Findley, Ferguson	1956.0	Murder makes me mad
Harrison, C. William	1956.0	The guns of Fort Petticoat : a Gold Medal original
Farris, John	1956.0	The corpse next door
Ard, William	1956.0	Cry Scandal
Einstein, Charles	1956.0	The last laugh
Guareschi, Giovanni	1957.0	Don Camillo takes the Devil by the tail
Baker, Laura Nelson	1957.0	The friendly beasts
Slaughter, Frank G. (Frank Gill)	1957.0	The Mapmaker; a novel of the days of Prince Henry, the Navigator
Baze, William	1957.0	Tiger] Tiger]
Twain, Mark	1910.0	The complete short stories of Mark Twain
Gordon, Richard	1957.0	The captain's table
Bahr, Jerome	1957.0	The linen suit, and other stories
Davis, Clyde Brion	1957.0	Unholy uproar
Norton, Andre	1957.0	Star born
Riesen, René	1957.0	Jungle mission
O'Connor, Edwin	1956.0	The last hurrah
Rudd, Steele	1904.0	Sandy's selection ; and, Back at our selection
Ross, Nancy Wilson	1957.0	The return of Lady Brace
Wood, James	1957.0	The rain islands
Woodman, George	1957.0	Night of the flood
Whitehill, Joseph	1957.0	Able Baker, and others
Weston, Christine Goutrie	1957.0	The wise children
Prebble, John	1956.0	Disaster at Dundee
Telenga, Suzette	1956.0	Freighter, a novel
Phadke, Narayan Sitaram	1956.0	The whirlwind = Jhanjavat
Ford, Leslie	1957.0	The girl from the Mimosa Club
	1957.0	Folk tales from China
	1957.0	Folk tales from China
	1957.0	Folk tales from China
	1957.0	Folk tales from China
	1957.0	Folk tales from China
Baldwin, Monica	1957.0	The called and the chosen; the diary of Sister Ursula Auberon, enclosed nun at the Abbaye de la Sainte Croix, Framleghen
Bassing, Eileen	1957.0	Home before dark
Bates, H. E. (Herbert Ernest)	1957.0	Death of a huntsman; four short novels
Bates, H. E. (Herbert Ernest)	1957.0	Sugar for the horse. [New Uncle Silas stories]
Farrell, James T. (James Thomas)	1957.0	A dangerous woman, and other stories
Faulkner, William	1957.0	The town
Glyn, Anthony	1957.0	Pemberton, ltd.; a novel
Golding, William	1956.0	The two deaths of Christopher Martin
Frankau, Pamela	1957.0	The bridge
Giovannitti, Len	1957.0	The prisoners of Combine D
Goodin, Peggy	1957.0	Dede O'Shea
Goodman, George J. W	1957.0	A time for Paris
Crabb, Alfred Leland	1957.0	Journey to Nashville, a story of the founding
Cross, Ian	1957.0	The God boy : a novel
Bemelmans, Ludwig	1957.0	The woman of my life
Bentley, Phyllis Eleanor	1957.0	Love and money; seven tales of the West Riding
Boles, Paul Darcy	1957.0	Deadline
Blish, James	1957.0	The seedling stars
Bond, Ruskin	1956.0	The room on the roof
Fuller, Iola	1957.0	The gilded torch
Haislip, Harvey	1957.0	Sailor named Jones; a novel of America's greater captain
Hardy, Ronald	1957.0	Kampong
Armstrong, Charlotte	1957.0	The albatross
Hale, Nancy	1957.0	Heaven and Hardpan Farm
Hardy, W. G. (William George)	1957.0	The city of libertines
Hartley, L. P. (Leslie Poles)	1957.0	The hireling
Hearne, John	1957.0	The eye of the storm
Ardizzone, Edward	1957.0	Tim all alone
Hickling, R. H	1957.0	Festival of hungry ghosts
Jackson, C. Paul (Caary Paul)	1957.0	Stock car racer
Fitzgerald, F. Scott (Francis Scott)	1940.0	Afternoon of an author, a selection of uncollected stories and essays
Hinde, Thomas	1957.0	Happy as Larry
Davies, Rhys	1957.0	The perishable quality, a novel
Boulle, Pierre	1957.0	The bridge over the River Kwai
Braine, John	1957.0	Room at the top
Brodkey, Harold	1957.0	First love and other sorrows
Hutchinson, R. C. (Ray Coryton)	1957.0	March the ninth
Huntington, Helen	1957.0	The adversary
Huxley, Elspeth Joscelin Grant	1957.0	The red rock wilderness
James, Henry	1916.0	A London life
Jameson, Storm	1957.0	A cup of tea for Mr. Thorgill
Johnson, Pamela Hansford	1956.0	The sea and the wedding
Jonas, Carl	1957.0	Our revels now are ended, a novel
Jones, James	1957.0	Some came running
Karp, David	1957.0	Leave me alone
Kaufmann, Myron S	1957.0	Remember me to God
Davis, H. L. (Harold Lenoir)	1957.0	The distant music
Lewis, Norman	1957.0	The volcanoes above us
McGivern, William P	1957.0	Odds against tomorrow
Lichtman, William	1957.0	Between the star and the cross
Lieberman, Rosalie	1957.0	The man who sold Christmas
McIlwain, David	1957.0	The isotope man
MacLean, Alistair	1957.0	The guns of Navarone
McPartland, John	1957.0	No down payment
Maddux, Rachel	1957.0	The Green Kingdom, a novel
Macauley, Robie	1957.0	The end of pity, and other stories
Deiss, Joseph Jay	1957.0	The blue chips, a novel
Dexter, Charles	1957.0	The street of kings
Burgess, Jackson	1957.0	Pillar of cloud
Buck, Pearl S. (Pearl Sydenstricker)	1957.0	Letter from Peking, a novel
Buckley, David	1957.0	Pride of innocence
Kennedy, Margaret	1957.0	The wild swan
Keyes, Frances Parkinson	1957.0	Blue camellia
Kiker, Douglas	1957.0	The Southerner
Kennedy, Margaret	1957.0	The heroes of Clone
Kentfield, Calvin	1957.0	The angel and the sailor : a novella and nine stories
Landon, Christopher	1957.0	Ice cold in Alex
King, Francis Henry	1957.0	The man on the rock; [novel
Dillon, Eilís	1955.0	The house on the shore
La Farge, Oliver	1957.0	A pause in the desert; a collection of short stories
Lawson, Henry	1922.0	Selected works
Jackson, C. Paul (Caary Paul)	1957.0	Puck grabber
Ćurčija-Prodanović, Nada	1957.0	Yugoslav folk-tales
Chase, Mary Ellen	1957.0	The edge of darkness
Carney, Otis	1957.0	When the bough breaks
Carr, John Dickson	1957.0	Fire, burn!
Carson, Josephine	1957.0	Drives my green age
Carson, Robin	1957.0	Pawn of time; an extravaganza
Cheever, John	1957.0	The Wapshot chronicle
Cather, Willa	1947.0	Early stories
Church, Richard	1957.0	Down river
Marks, Robert	1957.0	The horizontal hour
Marquand, John P. (John Phillips)	1957.0	Life at Happy Knoll
Maltz, Albert	1957.0	A long day in a short life
Marshall, Rosamond Van der Zee	1957.0	The Bixby girls
Martin, Shane	1957.0	Twelve girls in the garden
Martin, Sylvia Pass	1957.0	I, Madame Tussaud
Marquand, John P. (John Phillips)	1957.0	Stopover: Tokyo
Mankowitz, Wolf	1957.0	The Mendelman fire
Maund, Alfred	1957.0	The big box car, a novel
Mayfield, Julian	1957.0	The hit, a novel
Lytle, Andrew Nelson	1957.0	The velvet horn
Lubbock, Percy	1957.0	Percy Lubbock reader
Millar, Margaret	1957.0	An air that kills
Moore, Brian	1957.0	The Feast of Lupercal
Meynell, Viola	1956.0	Collected stories
Michener, James A. (James Albert)	1957.0	Selected writings
